Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_6492_2,Chrome 87.0.4280.141,Sklep,,2021-01-15 19:50:22,2021-01-15 19:52:08,"1m - 45,857s",PASSED
,,,,,,,
Test Cases/6492_Sklepdemo/TC_6492_Rejestracja kont,Chrome 87.0.4280.141,,,2021-01-15 19:50:23,2021-01-15 19:51:45,"1m - 21,558s",PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,,2021-01-15 19:50:24,2021-01-15 19:50:28,"4,048s",PASSED
"navigateToUrl(findTestData(""Data Files/link"").getValue(1, 2))",Chrome 87.0.4280.141,,,2021-01-15 19:50:28,2021-01-15 19:50:29,"1,119s",PASSED
waitForPageLoad(2),Chrome 87.0.4280.141,,,2021-01-15 19:50:29,2021-01-15 19:50:29,"0,096s",PASSED
"click(findTestObject(""Object Repository/Demosklep/Page_Sklep internetowy demo/span_zamknij""))",Chrome 87.0.4280.141,,,2021-01-15 19:50:29,2021-01-15 19:50:31,"2,144s",PASSED
"for ([n = 1, n < findTestData(""Data Files/2-Sklepdemo/sklep"").getRowNumbers(), (++n)])",Chrome 87.0.4280.141,,,2021-01-15 19:50:31,2021-01-15 19:51:44,"1m - 13,105s",PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-01-15 19:51:44,2021-01-15 19:51:45,"0,693s",PASSED
,,,,,,,
Test Cases/6492_Sklepdemo/TC_6492_zakupy_zywnosci,Chrome 87.0.4280.141,,,2021-01-15 19:51:45,2021-01-15 19:52:08,"23,099s",PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,,2021-01-15 19:51:45,2021-01-15 19:51:49,"3,399s",PASSED
"navigateToUrl(findTestData(""link"").getValue(1, 2))",Chrome 87.0.4280.141,,,2021-01-15 19:51:49,2021-01-15 19:51:50,"1,440s",PASSED
